MRI Path | Mode | Threshold,mode,height,depth,width,threshold,secondary,Jaccard Index,Dice,Precision,Recall,F1,Mean of Mean,Std of Mean,Mean of Std,Std of Std,Mean of Pval,Std of Pval
"8.nii.gz | mode: avg, threshold: 0.5, secondary: 0.5",avg,528,32,528,0.5,0.5,0.06993071545050801,0.13072008203805321,0.10703617334365845,0.16786320507526398,0.13072008543487687,,,,,,
"8.nii.gz_Ch0 | mode: avg, threshold: 0.5, secondary: 0.5",avg ch0,528,32,528,0.5,0.5,0.07015415639595388,0.13111037503433534,0.10703940689563751,0.16914837062358856,0.13072008543487687,,,,,,
"8.nii.gz_Ch1 | mode: avg, threshold: 0.5, secondary: 0.5",avg ch1,528,32,528,0.5,0.5,0.06868508511533662,0.12854130009077772,0.1060982495546341,0.16302640736103058,0.13072008543487687,,,,,,
"8.nii.gz_Ch2 | mode: avg, threshold: 0.5, secondary: 0.5",avg ch2,528,32,528,0.5,0.5,0.07200609465212228,0.13433896506784282,0.10911715030670166,0.17472587525844574,0.13072008543487687,,,,,,
"8.nii.gz_Ch3 | mode: avg, threshold: 0.5, secondary: 0.5",avg ch3,528,32,528,0.5,0.5,0.07098970704916603,0.13256842074349168,0.10852882266044617,0.17028792202472687,0.13072008543487687,,,,,,
"8.nii.gz_Ch4 | mode: avg, threshold: 0.5, secondary: 0.5",avg ch4,528,32,528,0.5,0.5,0.07001404920365012,0.13086566340808717,0.10711045563220978,0.16816075146198273,0.13072008543487687,,,,,,
"8.nii.gz_Ch5 | mode: avg, threshold: 0.5, secondary: 0.5",avg ch5,528,32,528,0.5,0.5,0.06978765677633078,0.13047011027492753,0.10696135461330414,0.16722378134727478,0.13072008543487687,,,,,,
"8.nii.gz_Ch6 | mode: avg, threshold: 0.5, secondary: 0.5",avg ch6,528,32,528,0.5,0.5,0.07072196477016149,0.1321014550854273,0.10716269910335541,0.17216819524765015,0.13072008543487687,,,,,,
"8.nii.gz_Ch7 | mode: avg, threshold: 0.5, secondary: 0.5",avg ch7,528,32,528,0.5,0.5,0.06957288003474799,0.13009469729886977,0.10657086223363876,0.166945219039917,0.13072008543487687,,,,,,
"8.nii.gz_Ch8 | mode: avg, threshold: 0.5, secondary: 0.5",avg ch8,528,32,528,0.5,0.5,0.0666693652874928,0.12500474365520597,0.10410477221012115,0.1564043164253235,0.13072008543487687,,,,,,
"8.nii.gz_Ch9 | mode: avg, threshold: 0.5, secondary: 0.5",avg ch9,528,32,528,0.5,0.5,0.06633175883643952,0.12441110993005733,0.10376432538032532,0.15531539916992188,0.13072008543487687,,,,,,
"8.nii.gz_Ch10 | mode: avg, threshold: 0.5, secondary: 0.5",avg ch10,528,32,528,0.5,0.5,0.06960042683365839,0.13014285538114076,0.10668464004993439,0.16682493686676025,0.13072008543487687,,,,,,
"8.nii.gz_Ch11 | mode: avg, threshold: 0.5, secondary: 0.5",avg ch11,528,32,528,0.5,0.5,0.07036685849912831,0.13148175868721554,0.10735194385051727,0.16960419714450836,0.13072008543487687,,,,,,
"8.nii.gz_Ch12 | mode: avg, threshold: 0.5, secondary: 0.5",avg ch12,528,32,528,0.5,0.5,0.06970517945498995,0.13032596418640732,0.10734865814447403,0.16581833362579346,0.13072008543487687,,,,,,
"8.nii.gz_Ch13 | mode: avg, threshold: 0.5, secondary: 0.5",avg ch13,528,32,528,0.5,0.5,0.06831764290324327,0.12789762175305233,0.10585599392652512,0.16153232753276825,0.13072008543487687,,,,,,
"8.nii.gz_Ch14 | mode: avg, threshold: 0.5, secondary: 0.5",avg ch14,528,32,528,0.5,0.5,0.07229163252753489,0.13483576731081742,0.10929978638887405,0.17594140768051147,0.13072008543487687,,,,,,
"8.nii.gz_Ch15 | mode: avg, threshold: 0.5, secondary: 0.5",avg ch15,528,32,528,0.5,0.5,0.06929211964378183,0.12960372263045383,0.10691583156585693,0.16451416909694672,0.13072008543487687,,,,,,
"8.nii.gz_Ch16 | mode: avg, threshold: 0.5, secondary: 0.5",avg ch16,528,32,528,0.5,0.5,0.07145798638420657,0.13338457931370665,0.10788511484861374,0.17466889321804047,0.13072008543487687,,,,,,
"8.nii.gz_Ch17 | mode: avg, threshold: 0.5, secondary: 0.5",avg ch17,528,32,528,0.5,0.5,0.07112980440318827,0.13281266959367288,0.10727742314338684,0.17430169880390167,0.13072008543487687,,,,,,
"8.nii.gz_Ch18 | mode: avg, threshold: 0.5, secondary: 0.5",avg ch18,528,32,528,0.5,0.5,0.07141876827465561,0.1333162539023685,0.10781987011432648,0.174605593085289,0.13072008543487687,,,,,,
"8.nii.gz_Ch19 | mode: avg, threshold: 0.5, secondary: 0.5",avg ch19,528,32,528,0.5,0.5,0.07072547342429283,0.1321075759913688,0.10819915682077408,0.16957886517047882,0.13072008543487687,,,,,,
"8.nii.gz_Ch20 | mode: avg, threshold: 0.5, secondary: 0.5",avg ch20,528,32,528,0.5,0.5,0.06734547811895222,0.12619246438643136,0.10510719567537308,0.1578604131937027,0.13072008543487687,,,,,,
"8.nii.gz_Ch21 | mode: avg, threshold: 0.5, secondary: 0.5",avg ch21,528,32,528,0.5,0.5,0.06688913387017931,0.12539097408622402,0.10466998815536499,0.15634100139141083,0.13072008543487687,,,,,,
"8.nii.gz_Ch22 | mode: avg, threshold: 0.5, secondary: 0.5",avg ch22,528,32,528,0.5,0.5,0.07015463741210869,0.13111121506816023,0.10727509111166,0.16856592893600464,0.13072008543487687,,,,,,
"8.nii.gz_Ch23 | mode: avg, threshold: 0.5, secondary: 0.5",avg ch23,528,32,528,0.5,0.5,0.06930706304050338,0.129629861121968,0.1071152612566948,0.16412799060344696,0.13072008543487687,,,,,,
"8.nii.gz_Ch24 | mode: avg, threshold: 0.5, secondary: 0.5",avg ch24,528,32,528,0.5,0.5,0.06782371629994251,0.12703167248201516,0.10532017797231674,0.16001924872398376,0.13072008543487687,,,,,,
"8.nii.gz_Ch25 | mode: avg, threshold: 0.5, secondary: 0.5",avg ch25,528,32,528,0.5,0.5,0.0714489535474888,0.1333688428362406,0.10797831416130066,0.17437134683132172,0.13072008543487687,,,,,,
"8.nii.gz_Ch26 | mode: avg, threshold: 0.5, secondary: 0.5",avg ch26,528,32,528,0.5,0.5,0.0690453276516183,0.12917193661401888,0.10617921501398087,0.16487503051757812,0.13072008543487687,,,,,,
"8.nii.gz_Ch27 | mode: avg, threshold: 0.5, secondary: 0.5",avg ch27,528,32,528,0.5,0.5,0.06898543371199126,0.12906711641760718,0.1073421910405159,0.16181720793247223,0.13072008543487687,,,,,,
"8.nii.gz_Ch28 | mode: avg, threshold: 0.5, secondary: 0.5",avg ch28,528,32,528,0.5,0.5,0.0739930475343002,0.13779055218856853,0.1092551052570343,0.18650130927562714,0.13072008543487687,,,,,,
"8.nii.gz_Ch29 | mode: avg, threshold: 0.5, secondary: 0.5",avg ch29,528,32,528,0.5,0.5,0.07232402878815028,0.13489211627343967,0.10802420973777771,0.17955000698566437,0.13072008543487687,,,,,,
"8.nii.gz_Ch30 | mode: avg, threshold: 0.5, secondary: 0.5",avg ch30,528,32,528,0.5,0.5,0.06800981359751457,0.12735803122869224,0.10515096783638,0.16145636141300201,0.13072008543487687,,,,,,
"8.nii.gz_Ch31 | mode: avg, threshold: 0.5, secondary: 0.5",avg ch31,528,32,528,0.5,0.5,0.07232880404042077,0.134900421898158,0.10908593237400055,0.17672009766101837,0.13072008543487687,,,,,,
"95.nii.gz | mode: avg, threshold: 0.5, secondary: 0.5",avg,512,45,416,0.5,0.5,0.6329416155760421,0.7752164676781232,0.8191702365875244,0.7357393503189087,0.7752164919975624,,,,,,
"95.nii.gz_Ch0 | mode: avg, threshold: 0.5, secondary: 0.5",avg ch0,512,45,416,0.5,0.5,0.6335170155175325,0.7756478928583591,0.818802535533905,0.7368143796920776,0.7752164919975624,,,,,,
"95.nii.gz_Ch1 | mode: avg, threshold: 0.5, secondary: 0.5",avg ch1,512,45,416,0.5,0.5,0.6321790656830275,0.774644251938332,0.8220288157463074,0.732424795627594,0.7752164919975624,,,,,,
"95.nii.gz_Ch2 | mode: avg, threshold: 0.5, secondary: 0.5",avg ch2,512,45,416,0.5,0.5,0.6331710462337011,0.7753885273603972,0.815158486366272,0.7393186688423157,0.7752164919975624,,,,,,
"95.nii.gz_Ch3 | mode: avg, threshold: 0.5, secondary: 0.5",avg ch3,512,45,416,0.5,0.5,0.632739214580034,0.7750646385282981,0.8180738687515259,0.7363518476486206,0.7752164919975624,,,,,,
"95.nii.gz_Ch4 | mode: avg, threshold: 0.5, secondary: 0.5",avg ch4,512,45,416,0.5,0.5,0.6329710313953254,0.7752385305379998,0.8190494775772095,0.7358765006065369,0.7752164919975624,,,,,,
"95.nii.gz_Ch5 | mode: avg, threshold: 0.5, secondary: 0.5",avg ch5,512,45,416,0.5,0.5,0.632938017085919,0.7752137686341926,0.8196630477905273,0.7353373765945435,0.7752164919975624,,,,,,
"95.nii.gz_Ch6 | mode: avg, threshold: 0.5, secondary: 0.5",avg ch6,512,45,416,0.5,0.5,0.6339789016505234,0.7759939874496775,0.8163267970085144,0.7394590377807617,0.7752164919975624,,,,,,
"95.nii.gz_Ch7 | mode: avg, threshold: 0.5, secondary: 0.5",avg ch7,512,45,416,0.5,0.5,0.632927103872362,0.7752055831164968,0.8197081685066223,0.7352863550186157,0.7752164919975624,,,,,,
"95.nii.gz_Ch8 | mode: avg, threshold: 0.5, secondary: 0.5",avg ch8,512,45,416,0.5,0.5,0.6312766392659828,0.7739663819984852,0.8253985643386841,0.728567898273468,0.7752164919975624,,,,,,
"95.nii.gz_Ch9 | mode: avg, threshold: 0.5, secondary: 0.5",avg ch9,512,45,416,0.5,0.5,0.6310594246667356,0.7738031062790535,0.8256335258483887,0.7280957698822021,0.7752164919975624,,,,,,
